model,time,delta_time,encoding,num_slices,num_dimensions,accuracy
Wisard,2025-01-22 23:28:36,0.0031,Linear,,,96.67
Wisard,2025-01-22 23:28:36,0.0085,Scatter Code,10,60,94.0
Wisard,2025-01-22 23:28:37,0.0035,Distributive,,,98.67
Wisard,2025-01-22 23:28:37,0.0028,Gaussian,,,96.0
Wisard,2025-01-22 23:28:37,0.0028,Linear,,,98.0
Wisard,2025-01-22 23:28:37,0.0090,Scatter Code,10,80,95.33
Wisard,2025-01-22 23:28:39,0.0023,Distributive,,,96.67
Wisard,2025-01-22 23:28:39,0.0023,Gaussian,,,98.67
Wisard,2025-01-22 23:28:39,0.0022,Linear,,,97.33
Wisard,2025-01-22 23:28:39,0.0083,Scatter Code,10,100,94.67
Wisard,2025-01-22 23:28:40,0.0192,Distributive,,,97.33
Wisard,2025-01-22 23:28:40,0.0048,Gaussian,,,98.0
Wisard,2025-01-22 23:28:40,0.0045,Linear,,,98.0
Wisard,2025-01-22 23:28:40,0.0195,Scatter Code,10,120,94.67
Wisard,2025-01-22 23:28:41,0.0026,Distributive,,,96.0
Wisard,2025-01-22 23:28:41,0.0018,Gaussian,,,97.33
Wisard,2025-01-22 23:28:41,0.0022,Linear,,,97.33
Wisard,2025-01-22 23:28:41,0.0097,Scatter Code,10,140,95.33
Wisard,2025-01-22 23:28:42,0.0029,Distributive,,,97.33
Wisard,2025-01-22 23:28:42,0.0016,Gaussian,,,98.67
Wisard,2025-01-22 23:28:43,0.0015,Linear,,,98.0
Wisard,2025-01-22 23:28:43,0.0117,Scatter Code,10,160,94.67
Wisard,2025-01-22 23:28:44,0.0037,Distributive,,,96.67
Wisard,2025-01-22 23:28:44,0.0027,Gaussian,,,97.33
Wisard,2025-01-22 23:28:44,0.0047,Linear,,,97.33
Wisard,2025-01-22 23:28:44,0.0170,Scatter Code,10,180,94.67
Wisard,2025-01-22 23:28:45,0.0029,Distributive,,,97.33
Wisard,2025-01-22 23:28:45,0.0036,Gaussian,,,97.33
Wisard,2025-01-22 23:28:45,0.0044,Linear,,,94.67
Wisard,2025-01-22 23:28:45,0.0155,Scatter Code,10,200,94.67
Wisard,2025-01-22 23:28:46,0.0030,Distributive,,,97.33
Wisard,2025-01-22 23:28:46,0.0017,Gaussian,,,96.67
Wisard,2025-01-22 23:28:46,0.0017,Linear,,,98.0
Wisard,2025-01-22 23:28:46,0.0026,Scatter Code,20,20,93.33
Wisard,2025-01-22 23:28:48,0.0042,Distributive,,,97.33
Wisard,2025-01-22 23:28:48,0.0036,Gaussian,,,96.0
Wisard,2025-01-22 23:28:48,0.0034,Linear,,,98.67
Wisard,2025-01-22 23:28:48,0.0065,Scatter Code,20,40,97.33
Wisard,2025-01-22 23:28:49,0.0041,Distributive,,,96.67
Wisard,2025-01-22 23:28:49,0.0033,Gaussian,,,96.0
Wisard,2025-01-22 23:28:49,0.0027,Linear,,,98.67
Wisard,2025-01-22 23:28:49,0.0092,Scatter Code,20,60,95.33
Wisard,2025-01-22 23:28:50,0.0018,Distributive,,,96.67
Wisard,2025-01-22 23:28:50,0.0018,Gaussian,,,95.33
Wisard,2025-01-22 23:28:50,0.0017,Linear,,,96.67
Wisard,2025-01-22 23:28:50,0.0059,Scatter Code,20,80,96.0
Wisard,2025-01-22 23:28:51,0.0027,Distributive,,,97.33
Wisard,2025-01-22 23:28:51,0.0020,Gaussian,,,98.67
Wisard,2025-01-22 23:28:51,0.0026,Linear,,,97.33
Wisard,2025-01-22 23:28:51,0.0110,Scatter Code,20,100,97.33
Wisard,2025-01-22 23:28:52,0.0026,Distributive,,,98.0
Wisard,2025-01-22 23:28:52,0.0021,Gaussian,,,98.0
Wisard,2025-01-22 23:28:52,0.0024,Linear,,,98.67
Wisard,2025-01-22 23:28:52,0.0084,Scatter Code,20,120,98.0
Wisard,2025-01-22 23:28:54,0.0021,Distributive,,,97.33
Wisard,2025-01-22 23:28:54,0.0022,Gaussian,,,98.0
Wisard,2025-01-22 23:28:54,0.0019,Linear,,,98.0
Wisard,2025-01-22 23:28:54,0.0101,Scatter Code,20,140,97.33
Wisard,2025-01-22 23:28:55,0.0047,Distributive,,,93.33
Wisard,2025-01-22 23:28:55,0.0042,Gaussian,,,97.33
Wisard,2025-01-22 23:28:55,0.0032,Linear,,,96.0
Wisard,2025-01-22 23:28:55,0.0188,Scatter Code,20,160,96.67
Wisard,2025-01-22 23:28:56,0.0027,Distributive,,,98.0
Wisard,2025-01-22 23:28:56,0.0030,Gaussian,,,97.33
Wisard,2025-01-22 23:28:56,0.0025,Linear,,,98.67
Wisard,2025-01-22 23:28:56,0.0136,Scatter Code,20,180,99.33
Wisard,2025-01-22 23:28:57,0.0043,Distributive,,,97.33
Wisard,2025-01-22 23:28:57,0.0038,Gaussian,,,98.67
Wisard,2025-01-22 23:28:57,0.0034,Linear,,,98.67
Wisard,2025-01-22 23:28:57,0.0198,Scatter Code,20,200,98.67
Wisard,2025-01-22 23:28:58,0.0046,Distributive,,,96.67
Wisard,2025-01-22 23:28:58,0.0031,Gaussian,,,98.0
Wisard,2025-01-22 23:28:58,0.0033,Linear,,,98.67
Wisard,2025-01-22 23:28:58,0.0074,Scatter Code,30,20,33.33
Wisard,2025-01-22 23:29:00,0.0053,Distributive,,,95.33
Wisard,2025-01-22 23:29:00,0.0036,Gaussian,,,95.33
Wisard,2025-01-22 23:29:00,0.0028,Linear,,,98.0
Wisard,2025-01-22 23:29:00,0.0053,Scatter Code,30,40,96.67
Wisard,2025-01-22 23:29:01,0.0024,Distributive,,,98.0
Wisard,2025-01-22 23:29:01,0.0031,Gaussian,,,97.33
Wisard,2025-01-22 23:29:01,0.0024,Linear,,,98.67
Wisard,2025-01-22 23:29:01,0.0055,Scatter Code,30,60,96.67
Wisard,2025-01-22 23:29:02,0.0033,Distributive,,,96.67
Wisard,2025-01-22 23:29:02,0.0037,Gaussian,,,96.67
Wisard,2025-01-22 23:29:02,0.0030,Linear,,,96.0
Wisard,2025-01-22 23:29:02,0.0085,Scatter Code,30,80,96.67
Wisard,2025-01-22 23:29:03,0.0037,Distributive,,,98.0
Wisard,2025-01-22 23:29:03,0.0044,Gaussian,,,96.67
Wisard,2025-01-22 23:29:03,0.0049,Linear,,,98.0
Wisard,2025-01-22 23:29:03,0.0172,Scatter Code,30,100,96.67
Wisard,2025-01-22 23:29:05,0.0024,Distributive,,,96.67
Wisard,2025-01-22 23:29:05,0.0024,Gaussian,,,98.0
Wisard,2025-01-22 23:29:05,0.0017,Linear,,,98.0
Wisard,2025-01-22 23:29:05,0.0120,Scatter Code,30,120,97.33
Wisard,2025-01-22 23:29:06,0.0029,Distributive,,,96.67
Wisard,2025-01-22 23:29:06,0.0024,Gaussian,,,98.67
Wisard,2025-01-22 23:29:06,0.0024,Linear,,,99.33
Wisard,2025-01-22 23:29:06,0.0109,Scatter Code,30,140,96.67
Wisard,2025-01-22 23:29:07,0.0029,Distributive,,,98.0
Wisard,2025-01-22 23:29:07,0.0024,Gaussian,,,97.33
Wisard,2025-01-22 23:29:07,0.0020,Linear,,,98.0
Wisard,2025-01-22 23:29:07,0.0126,Scatter Code,30,160,96.67
Wisard,2025-01-22 23:29:08,0.0022,Distributive,,,93.33
Wisard,2025-01-22 23:29:08,0.0021,Gaussian,,,96.0
Wisard,2025-01-22 23:29:08,0.0022,Linear,,,98.0
Wisard,2025-01-22 23:29:08,0.0119,Scatter Code,30,180,99.33
Wisard,2025-01-22 23:29:10,0.0027,Distributive,,,96.0
Wisard,2025-01-22 23:29:10,0.0023,Gaussian,,,96.0
Wisard,2025-01-22 23:29:10,0.0022,Linear,,,99.33
Wisard,2025-01-22 23:29:10,0.0146,Scatter Code,30,200,97.33
Wisard,2025-01-22 23:29:11,0.0039,Distributive,,,94.0
Wisard,2025-01-22 23:29:11,0.0032,Gaussian,,,96.67
Wisard,2025-01-22 23:29:11,0.0042,Linear,,,97.33
Wisard,2025-01-22 23:29:11,0.0111,Scatter Code,40,20,33.33
Wisard,2025-01-22 23:29:12,0.0026,Distributive,,,95.33
Wisard,2025-01-22 23:29:12,0.0023,Gaussian,,,97.33
Wisard,2025-01-22 23:29:12,0.0046,Linear,,,98.67
Wisard,2025-01-22 23:29:12,0.0081,Scatter Code,40,40,98.67
Wisard,2025-01-22 23:29:13,0.0023,Distributive,,,97.33
Wisard,2025-01-22 23:29:13,0.0017,Gaussian,,,96.67
Wisard,2025-01-22 23:29:13,0.0020,Linear,,,98.0
Wisard,2025-01-22 23:29:13,0.0046,Scatter Code,40,60,96.0
Wisard,2025-01-22 23:29:14,0.0017,Distributive,,,95.33
Wisard,2025-01-22 23:29:14,0.0021,Gaussian,,,98.0
Wisard,2025-01-22 23:29:14,0.0020,Linear,,,97.33
Wisard,2025-01-22 23:29:14,0.0062,Scatter Code,40,80,98.0
Wisard,2025-01-22 23:29:15,0.0020,Distributive,,,97.33
Wisard,2025-01-22 23:29:15,0.0047,Gaussian,,,97.33
Wisard,2025-01-22 23:29:15,0.0023,Linear,,,96.67
Wisard,2025-01-22 23:29:15,0.0110,Scatter Code,40,100,98.0
Wisard,2025-01-22 23:29:17,0.0040,Distributive,,,96.0
Wisard,2025-01-22 23:29:17,0.0028,Gaussian,,,98.0
Wisard,2025-01-22 23:29:17,0.0031,Linear,,,98.0
Wisard,2025-01-22 23:29:17,0.0118,Scatter Code,40,120,98.0
Wisard,2025-01-22 23:29:18,0.0050,Distributive,,,95.33
Wisard,2025-01-22 23:29:18,0.0027,Gaussian,,,97.33
Wisard,2025-01-22 23:29:18,0.0023,Linear,,,96.0
Wisard,2025-01-22 23:29:18,0.0110,Scatter Code,40,140,98.67
Wisard,2025-01-22 23:29:19,0.0021,Distributive,,,94.0
Wisard,2025-01-22 23:29:19,0.0037,Gaussian,,,96.67
Wisard,2025-01-22 23:29:19,0.0020,Linear,,,98.0
Wisard,2025-01-22 23:29:19,0.0118,Scatter Code,40,160,98.67
Wisard,2025-01-22 23:29:20,0.0031,Distributive,,,97.33
Wisard,2025-01-22 23:29:20,0.0022,Gaussian,,,97.33
Wisard,2025-01-22 23:29:20,0.0023,Linear,,,96.67
Wisard,2025-01-22 23:29:20,0.0146,Scatter Code,40,180,96.0
Wisard,2025-01-22 23:29:21,0.0051,Distributive,,,96.0
Wisard,2025-01-22 23:29:21,0.0040,Gaussian,,,97.33
Wisard,2025-01-22 23:29:21,0.0030,Linear,,,97.33
Wisard,2025-01-22 23:29:22,0.0197,Scatter Code,40,200,98.67
Wisard,2025-01-22 23:29:23,0.0030,Distributive,,,95.33
Wisard,2025-01-22 23:29:23,0.0020,Gaussian,,,99.33
Wisard,2025-01-22 23:29:23,0.0019,Linear,,,97.33
Wisard,2025-01-22 23:29:23,0.0045,Scatter Code,50,20,33.33
Wisard,2025-01-22 23:29:24,0.0027,Distributive,,,95.33
Wisard,2025-01-22 23:29:24,0.0017,Gaussian,,,96.67
Wisard,2025-01-22 23:29:24,0.0021,Linear,,,98.67
Wisard,2025-01-22 23:29:24,0.0094,Scatter Code,50,40,33.33
Wisard,2025-01-22 23:29:25,0.0057,Distributive,,,97.33
Wisard,2025-01-22 23:29:25,0.0039,Gaussian,,,95.33
Wisard,2025-01-22 23:29:25,0.0034,Linear,,,96.67
Wisard,2025-01-22 23:29:25,0.0077,Scatter Code,50,60,98.0
Wisard,2025-01-22 23:29:26,0.0045,Distributive,,,95.33
Wisard,2025-01-22 23:29:26,0.0034,Gaussian,,,98.67
Wisard,2025-01-22 23:29:26,0.0031,Linear,,,98.67
Wisard,2025-01-22 23:29:26,0.0103,Scatter Code,50,80,96.67
Wisard,2025-01-22 23:29:27,0.0020,Distributive,,,95.33
Wisard,2025-01-22 23:29:27,0.0028,Gaussian,,,98.67
Wisard,2025-01-22 23:29:27,0.0020,Linear,,,98.67
Wisard,2025-01-22 23:29:27,0.0071,Scatter Code,50,100,98.0
Wisard,2025-01-22 23:29:29,0.0032,Distributive,,,94.0
Wisard,2025-01-22 23:29:29,0.0024,Gaussian,,,96.67
Wisard,2025-01-22 23:29:29,0.0040,Linear,,,96.0
Wisard,2025-01-22 23:29:29,0.0100,Scatter Code,50,120,97.33
Wisard,2025-01-22 23:29:30,0.0024,Distributive,,,95.33
Wisard,2025-01-22 23:29:30,0.0023,Gaussian,,,98.67
Wisard,2025-01-22 23:29:30,0.0020,Linear,,,98.0
Wisard,2025-01-22 23:29:30,0.0105,Scatter Code,50,140,98.67
Wisard,2025-01-22 23:29:31,0.0029,Distributive,,,95.33
Wisard,2025-01-22 23:29:31,0.0018,Gaussian,,,98.67
Wisard,2025-01-22 23:29:31,0.0023,Linear,,,98.0
Wisard,2025-01-22 23:29:31,0.0146,Scatter Code,50,160,96.67
Wisard,2025-01-22 23:29:32,0.0038,Distributive,,,98.0
Wisard,2025-01-22 23:29:32,0.0034,Gaussian,,,98.67
Wisard,2025-01-22 23:29:32,0.0052,Linear,,,98.0
Wisard,2025-01-22 23:29:32,0.0251,Scatter Code,50,180,98.67
Wisard,2025-01-22 23:29:33,0.0022,Distributive,,,96.0
Wisard,2025-01-22 23:29:33,0.0018,Gaussian,,,98.0
Wisard,2025-01-22 23:29:33,0.0020,Linear,,,98.0
Wisard,2025-01-22 23:29:34,0.0138,Scatter Code,50,200,98.67
Wisard,2025-01-22 23:29:35,0.0035,Distributive,,,96.67
Wisard,2025-01-22 23:29:35,0.0044,Gaussian,,,98.67
Wisard,2025-01-22 23:29:35,0.0028,Linear,,,98.67
Wisard,2025-01-22 23:29:35,0.0089,Scatter Code,60,20,33.33
Wisard,2025-01-22 23:29:36,0.0038,Distributive,,,97.33
Wisard,2025-01-22 23:29:36,0.0034,Gaussian,,,97.33
Wisard,2025-01-22 23:29:36,0.0029,Linear,,,98.0
Wisard,2025-01-22 23:29:36,0.0116,Scatter Code,60,40,33.33
Wisard,2025-01-22 23:29:37,0.0044,Distributive,,,97.33
Wisard,2025-01-22 23:29:37,0.0034,Gaussian,,,96.67
Wisard,2025-01-22 23:29:37,0.0029,Linear,,,98.0
Wisard,2025-01-22 23:29:37,0.0080,Scatter Code,60,60,98.0
Wisard,2025-01-22 23:29:38,0.0022,Distributive,,,96.67
Wisard,2025-01-22 23:29:38,0.0020,Gaussian,,,97.33
Wisard,2025-01-22 23:29:38,0.0017,Linear,,,96.0
Wisard,2025-01-22 23:29:38,0.0096,Scatter Code,60,80,96.0
Wisard,2025-01-22 23:29:39,0.0030,Distributive,,,96.0
Wisard,2025-01-22 23:29:39,0.0031,Gaussian,,,96.67
Wisard,2025-01-22 23:29:39,0.0019,Linear,,,98.67
Wisard,2025-01-22 23:29:39,0.0089,Scatter Code,60,100,97.33
Wisard,2025-01-22 23:29:41,0.0024,Distributive,,,96.67
Wisard,2025-01-22 23:29:41,0.0023,Gaussian,,,98.0
Wisard,2025-01-22 23:29:41,0.0025,Linear,,,97.33
Wisard,2025-01-22 23:29:41,0.0093,Scatter Code,60,120,97.33
Wisard,2025-01-22 23:29:42,0.0020,Distributive,,,96.67
Wisard,2025-01-22 23:29:42,0.0021,Gaussian,,,98.67
Wisard,2025-01-22 23:29:42,0.0024,Linear,,,98.0
Wisard,2025-01-22 23:29:42,0.0097,Scatter Code,60,140,96.67
Wisard,2025-01-22 23:29:43,0.0035,Distributive,,,97.33
Wisard,2025-01-22 23:29:43,0.0022,Gaussian,,,96.67
Wisard,2025-01-22 23:29:43,0.0019,Linear,,,98.67
Wisard,2025-01-22 23:29:43,0.0112,Scatter Code,60,160,96.0
Wisard,2025-01-22 23:29:44,0.0027,Distributive,,,97.33
Wisard,2025-01-22 23:29:44,0.0025,Gaussian,,,98.67
Wisard,2025-01-22 23:29:44,0.0023,Linear,,,97.33
Wisard,2025-01-22 23:29:44,0.0147,Scatter Code,60,180,97.33
Wisard,2025-01-22 23:29:45,0.0040,Distributive,,,98.0
Wisard,2025-01-22 23:29:45,0.0036,Gaussian,,,96.0
Wisard,2025-01-22 23:29:45,0.0033,Linear,,,98.67
Wisard,2025-01-22 23:29:45,0.0205,Scatter Code,60,200,98.67
Wisard,2025-01-22 23:29:47,0.0053,Distributive,,,98.0
Wisard,2025-01-22 23:29:47,0.0038,Gaussian,,,98.67
Wisard,2025-01-22 23:29:47,0.0032,Linear,,,98.67
Wisard,2025-01-22 23:29:47,0.0072,Scatter Code,70,20,33.33
Wisard,2025-01-22 23:29:48,0.0019,Distributive,,,97.33
Wisard,2025-01-22 23:29:48,0.0039,Gaussian,,,98.0
Wisard,2025-01-22 23:29:48,0.0026,Linear,,,97.33
Wisard,2025-01-22 23:29:48,0.0076,Scatter Code,70,40,33.33
Wisard,2025-01-22 23:29:49,0.0033,Distributive,,,99.33
Wisard,2025-01-22 23:29:49,0.0036,Gaussian,,,98.0
Wisard,2025-01-22 23:29:49,0.0024,Linear,,,97.33
Wisard,2025-01-22 23:29:49,0.0140,Scatter Code,70,60,33.33
Wisard,2025-01-22 23:29:50,0.0021,Distributive,,,94.67
Wisard,2025-01-22 23:29:50,0.0017,Gaussian,,,96.0
Wisard,2025-01-22 23:29:50,0.0020,Linear,,,98.0
Wisard,2025-01-22 23:29:50,0.0070,Scatter Code,70,80,96.67
Wisard,2025-01-22 23:29:51,0.0029,Distributive,,,94.0
Wisard,2025-01-22 23:29:51,0.0024,Gaussian,,,94.0
Wisard,2025-01-22 23:29:51,0.0020,Linear,,,96.67
Wisard,2025-01-22 23:29:51,0.0085,Scatter Code,70,100,97.33
Wisard,2025-01-22 23:29:52,0.0027,Distributive,,,96.0
Wisard,2025-01-22 23:29:52,0.0021,Gaussian,,,97.33
Wisard,2025-01-22 23:29:52,0.0019,Linear,,,96.67
Wisard,2025-01-22 23:29:52,0.0217,Scatter Code,70,120,96.0
Wisard,2025-01-22 23:29:54,0.0024,Distributive,,,95.33
Wisard,2025-01-22 23:29:54,0.0020,Gaussian,,,96.67
Wisard,2025-01-22 23:29:54,0.0021,Linear,,,99.33
Wisard,2025-01-22 23:29:54,0.0118,Scatter Code,70,140,98.0
Wisard,2025-01-22 23:29:55,0.0031,Distributive,,,96.67
Wisard,2025-01-22 23:29:55,0.0020,Gaussian,,,96.67
Wisard,2025-01-22 23:29:55,0.0021,Linear,,,98.67
Wisard,2025-01-22 23:29:55,0.0115,Scatter Code,70,160,96.0
Wisard,2025-01-22 23:29:56,0.0035,Distributive,,,98.0
Wisard,2025-01-22 23:29:56,0.0041,Gaussian,,,98.0
Wisard,2025-01-22 23:29:56,0.0033,Linear,,,98.0
Wisard,2025-01-22 23:29:56,0.0197,Scatter Code,70,180,97.33
Wisard,2025-01-22 23:29:57,0.0039,Distributive,,,96.0
Wisard,2025-01-22 23:29:57,0.0036,Gaussian,,,98.0
Wisard,2025-01-22 23:29:57,0.0028,Linear,,,97.33
Wisard,2025-01-22 23:29:57,0.0193,Scatter Code,70,200,96.0
Wisard,2025-01-22 23:29:59,0.0053,Distributive,,,96.0
Wisard,2025-01-22 23:29:59,0.0022,Gaussian,,,98.67
Wisard,2025-01-22 23:29:59,0.0018,Linear,,,98.67
Wisard,2025-01-22 23:29:59,0.0050,Scatter Code,80,20,33.33
Wisard,2025-01-22 23:30:01,0.0021,Distributive,,,96.0
Wisard,2025-01-22 23:30:01,0.0020,Gaussian,,,95.33
Wisard,2025-01-22 23:30:01,0.0022,Linear,,,98.67
Wisard,2025-01-22 23:30:01,0.0083,Scatter Code,80,40,33.33
Wisard,2025-01-22 23:30:02,0.0047,Distributive,,,96.67
Wisard,2025-01-22 23:30:02,0.0037,Gaussian,,,98.0
Wisard,2025-01-22 23:30:02,0.0035,Linear,,,98.67
Wisard,2025-01-22 23:30:02,0.0177,Scatter Code,80,60,33.33
Wisard,2025-01-22 23:30:03,0.0038,Distributive,,,96.67
Wisard,2025-01-22 23:30:03,0.0027,Gaussian,,,96.0
Wisard,2025-01-22 23:30:03,0.0029,Linear,,,98.0
Wisard,2025-01-22 23:30:03,0.0087,Scatter Code,80,80,96.67
Wisard,2025-01-22 23:30:04,0.0046,Distributive,,,97.33
Wisard,2025-01-22 23:30:04,0.0034,Gaussian,,,97.33
Wisard,2025-01-22 23:30:04,0.0031,Linear,,,97.33
Wisard,2025-01-22 23:30:04,0.0116,Scatter Code,80,100,95.33
Wisard,2025-01-22 23:30:05,0.0037,Distributive,,,96.67
Wisard,2025-01-22 23:30:05,0.0036,Gaussian,,,96.0
Wisard,2025-01-22 23:30:05,0.0029,Linear,,,98.0
Wisard,2025-01-22 23:30:05,0.0153,Scatter Code,80,120,95.33
Wisard,2025-01-22 23:30:07,0.0019,Distributive,,,96.0
Wisard,2025-01-22 23:30:07,0.0026,Gaussian,,,98.0
Wisard,2025-01-22 23:30:07,0.0021,Linear,,,96.0
Wisard,2025-01-22 23:30:07,0.0088,Scatter Code,80,140,98.0
Wisard,2025-01-22 23:30:08,0.0023,Distributive,,,97.33
Wisard,2025-01-22 23:30:08,0.0022,Gaussian,,,98.0
Wisard,2025-01-22 23:30:08,0.0019,Linear,,,96.67
Wisard,2025-01-22 23:30:08,0.0115,Scatter Code,80,160,97.33
Wisard,2025-01-22 23:30:09,0.0037,Distributive,,,96.67
Wisard,2025-01-22 23:30:09,0.0035,Gaussian,,,97.33
Wisard,2025-01-22 23:30:09,0.0028,Linear,,,97.33
Wisard,2025-01-22 23:30:09,0.0165,Scatter Code,80,180,96.67
Wisard,2025-01-22 23:30:10,0.0025,Distributive,,,97.33
Wisard,2025-01-22 23:30:10,0.0023,Gaussian,,,98.67
Wisard,2025-01-22 23:30:10,0.0022,Linear,,,97.33
Wisard,2025-01-22 23:30:10,0.0172,Scatter Code,80,200,97.33
Wisard,2025-01-22 23:30:11,0.0019,Distributive,,,96.67
Wisard,2025-01-22 23:30:11,0.0043,Gaussian,,,96.67
Wisard,2025-01-22 23:30:11,0.0025,Linear,,,98.0
Wisard,2025-01-22 23:30:11,0.0057,Scatter Code,90,20,33.33
Wisard,2025-01-22 23:30:12,0.0020,Distributive,,,96.67
Wisard,2025-01-22 23:30:12,0.0019,Gaussian,,,98.67
Wisard,2025-01-22 23:30:12,0.0019,Linear,,,97.33
Wisard,2025-01-22 23:30:12,0.0086,Scatter Code,90,40,33.33
Wisard,2025-01-22 23:30:14,0.0023,Distributive,,,96.67
Wisard,2025-01-22 23:30:14,0.0020,Gaussian,,,96.67
Wisard,2025-01-22 23:30:14,0.0022,Linear,,,98.0
Wisard,2025-01-22 23:30:14,0.0129,Scatter Code,90,60,33.33
Wisard,2025-01-22 23:30:15,0.0062,Distributive,,,98.0
Wisard,2025-01-22 23:30:15,0.0051,Gaussian,,,94.67
